ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7833.9532768920535
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8391.680985136416
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8021.7295280865865
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8240.743669057976
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7789.893356558503
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7925.9572050214665
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8553.719517886282
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7904.4228730588475
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7909.212522417194
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8017.612126392594
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8249.320107656857
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8343.695020916744
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8095.745774391526
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8002.795863019475
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8313.471617289744
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7549.289019371721
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8364.952103739237
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8166.660198786206
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8158.007178506459
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8001.377697974269
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,8199.369707923168
52,78,0.2668451186837607,1.904336897177846,4.397625440543744,7793.421800834436
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,144,0.2534953161635907,1.7440898762153025,3.7719857344623158,8171.721099401778
52,139,0.2508745099668426,0.8315169592367848,4.397945383200725,8571.109752258562
52,178,0.27677649532932547,1.1301245622231648,2.702089770798798,7955.911024446053
52,147,0.3587559865978871,1.3693162963208922,2.6037803147461456,8698.41153434032
52,68,0.2957405651875039,0.9991829471618299,4.227359382846189,9225.245281689631
52,60,0.4002030728547855,1.3203116692290366,2.7216916734703425,8603.087020975905
52,191,0.4866393698275192,0.7269528042773556,2.6022603015166124,9679.606187433064
52,167,0.23274176470145289,0.6617648620237468,4.673146351652542,9380.041959700375
52,59,0.225921440325501,1.2467644778844507,3.152618386394487,8599.147013663127
52,99,0.4082226151308226,0.6108580594140067,4.063139495129457,9980.547338988108
52,104,0.3214603519208543,0.8345559786397211,2.7358771821087435,8806.662281414125
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,76,0.2536658483381201,0.9009684711105509,2.7220851901805476,8389.82654948471
52,132,0.3106626372701843,1.5093288784243655,4.286646984921839,8149.9316390131835
52,107,0.23859712812787803,1.2111528212437948,4.073513267936661,8250.216928578024
52,64,0.3895138884297771,0.8655598148027135,3.2882950127704653,8722.966808233305
52,71,0.3583471394678578,1.4692226798211419,3.5790982315894433,7952.577387137441
52,72,0.26673417974163005,1.6146942371388446,3.828166408961186,7965.327503855924
52,153,0.33674444790502345,1.0124215405443382,3.1203661707063093,8277.467756824568
52,126,0.38057275157580545,1.7398487655864936,3.0557580464153444,8223.28602531125
52,168,0.3549578233053825,1.1788439867770721,3.37272215120763,8280.53077361907
52,66,0.2589016607048876,0.8562279968121872,3.3416063114607946,7987.474956720823
52,121,0.3569026191542375,0.8796794398119622,3.6420161907441413,8598.573811136304
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,66,0.3557250325048324,1.6387211507956234,3.8137439849319628,8130.810925362978
52,123,0.33228151493702107,1.114192896509393,4.082896205910533,8941.634949723575
52,71,0.28161589647257074,1.1995099517247483,3.8532085902005515,8857.433609610336
52,84,0.3780917486274743,1.6988739200865255,4.200787319459929,8599.929731983404
52,124,0.288795543659061,1.4828878690112548,3.7932436283478226,8216.898418255305
52,94,0.2761101430193671,0.8832088501448905,3.285930153246061,8564.047006086877
52,115,0.3583916904071866,1.0658745951853723,3.965218289457027,8107.632137697069
52,85,0.35288764061453476,1.4798673193439607,4.085910294284691,8316.437399663928
52,70,0.29523474131947264,1.7227513386067401,3.1038037324092,8052.753188916164
52,105,0.2647582846609877,1.2521447058813924,3.27260686081744,8055.974756169026
52,95,0.33135460949649964,1.6339194734927882,3.4043823622875635,7555.401175071869
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,94,0.34037653007188023,1.222109822408939,3.227648690855864,9212.70349691413
52,72,0.28086571102951935,1.5771507021419937,3.957558089459861,8143.630755062838
52,97,0.3449763010603141,1.5154844933506322,3.933994175472987,7847.007294737287
52,80,0.295040093945513,1.6485010551338068,3.6769820245492224,8432.654368117746
52,75,0.31016922716260786,1.3593982980587809,3.8768501271200506,8317.552673681272
52,77,0.33113957778530373,1.6948399739780908,3.701956003275524,8147.213909884583
52,76,0.2808667646568964,1.214909224947311,3.7476945699221575,8567.355755476538
52,110,0.29818677280886496,1.3167149314582138,3.321382242849885,7930.253410611462
52,100,0.3458012931085127,1.566735284562093,3.848720818968458,8163.211508558345
52,81,0.33649972358486,1.48454159275534,3.625344156328289,8135.7362016207935
52,92,0.27334667799910256,1.4565310741923971,3.5662330595879776,8267.274179809338
ant_number,iterations,pheromone_evaporation,alpha,beta,best_path_length
52,108,0.34044984496995023,1.4062377758798703,3.672698638160337,8051.990068032336
